Email of the EMployee,Phone Number,Emmployee ID,Department,fIRST nAME,Country,Last name,Business units
ralph.flores@yahoo.com,05387633565,231469,Finance,Ralph,Cuba,Flores,Administration
jack.alexander@gmail.com,04788763455,153989,Support ,Jack,Norway,Alexander,Operations
melissa.king@comcast.net,04878563345,386158,Marketing,Melissa,Poland,King,Customer service
wayne.watson@gmail.com,04698645675,301576,Finance,Wayne,Sweden,Watson,Administration
cheryl.scott@gmail.com,04788547642,441771,Educational Technology,Cheryl,Norway,Scott,HR
paula.diaz@gmail.com,04476894545,528509,Developement,Paula,England,Diaz,R&D
joshua.stewart@yahoo.ca,04476873466,912990,Marketing,Joshua,England,Stewart,Customer service
theresa.lee@gmail.com,04974861317,214352,Developement,Theresa,Germany,Lee,R&D
julia.scott@apple.com,03398675422,890290,Educational Technology,Julia,France,Scott,HR
thomas.lewis@gmail.com,04878563343,622406,Support ,Thomas,Poland,Lewis,Operations
