Anställnings-ID (Emp ID),Land (County),Department,Full name,Företagsenheter (BU),Mobil Num
477253,Germany,Finance,Anne Russell,Administration,04998334544
263480,Poland,Support ,Daniel Cooper,Operations,04876351977
683826,Sweden ,Marketing,Roger Roberts,Customer service,04677489355
474599,Poland ,Educational Technology,Maria Walker,HR,04811964476
335732,Germany,Developement,Brenda Butler,R&D,04985231576
329752,Norway,Finance,Lillian Brown,Administration,04795671266
893212,Sweden,Educational Technology,Amy Howard,HR,04697236657
621833,England,Support ,Gregory Edwards,Operations,04498156755
456747,France,Developement,Roy Griffin,R&D,03386446710
278556,Germany,Developement,Richard Mitchell,R&D,04978307846
